AL092011, IRENE, 39,
20110821, 0000, , TS, 15.0N, 59.0W, 45, 1006, 105, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0,
20110821, 0600, , TS, 16.0N, 60.6W, 45, 1006, 130, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0,
20110821, 1200, , TS, 16.8N, 62.2W, 45, 1005, 130, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0,
20110821, 1800, , TS, 17.5N, 63.7W, 50, 999, 130, 20, 0, 70, 30, 0, 0, 0, 0, 0, 0, 0,
20110822, 0000, , TS, 17.9N, 65.0W, 60, 993, 130, 30, 30, 90, 30, 0, 0, 30, 0, 0, 0, 0,
20110822, 0600, , HU, 18.2N, 65.9W, 65, 990, 130, 60, 60, 90, 40, 25, 20, 35, 25, 0, 0, 0,
20110822, 1200, , HU, 18.9N, 67.0W, 70, 989, 160, 60, 60, 90, 40, 25, 20, 35, 25, 0, 0, 0,
20110822, 1800, , HU, 19.3N, 68.0W, 75, 988, 160, 60, 40, 90, 40, 30, 20, 35, 25, 0, 0, 0,
20110823, 0000, , HU, 19.7N, 68.8W, 80, 981, 160, 70, 50, 100, 70, 30, 30, 70, 25, 0, 0, 35,
20110823, 0600, , HU, 20.1N, 69.7W, 80, 978, 180, 120, 90, 130, 90, 60, 40, 70, 45, 30, 20, 35,
20110823, 1200, , HU, 20.4N, 70.6W, 80, 978, 180, 120, 90, 130, 90, 60, 40, 70, 40, 30, 20, 35,
20110823, 1800, , HU, 20.7N, 71.2W, 80, 977, 180, 120, 90, 130, 75, 60, 40, 70, 35, 30, 20, 35,
20110824, 0000, , HU, 21.0N, 71.9W, 80, 969, 180, 150, 90, 150, 70, 70, 40, 70, 35, 30, 25, 35,
20110824, 0600, , HU, 21.3N, 72.5W, 95, 965, 180, 150, 90, 150, 70, 70, 40, 70, 35, 30, 25, 35,
20110824, 1200, , HU, 21.9N, 73.3W, 105, 957, 180, 150, 90, 150, 90, 60, 45, 80, 45, 40, 25, 40,
20110824, 1800, , HU, 22.7N, 74.3W, 100, 954, 200, 180, 100, 150, 100, 70, 50, 80, 50, 45, 25, 40,
20110825, 0000, L, HU, 23.5N, 75.1W, 95, 952, 220, 180, 100, 150, 100, 90, 50, 80, 60, 60, 25, 50,
20110825, 0600, , HU, 24.1N, 75.9W, 95, 950, 220, 180, 100, 150, 100, 80, 50, 70, 60, 60, 25, 50,
20110825, 1200, , HU, 25.4N, 76.6W, 90, 950, 250, 200, 100, 160, 100, 100, 50, 70, 60, 60, 25, 50,
20110825, 1800, L, HU, 26.5N, 77.2W, 90, 950, 250, 200, 125, 160, 110, 100, 50, 75, 70, 60, 25, 50,
20110826, 0000, , HU, 27.7N, 77.3W, 90, 946, 250, 200, 125, 160, 110, 100, 50, 75, 70, 60, 25, 50,
20110826, 0600, , HU, 28.8N, 77.3W, 90, 942, 250, 200, 130, 175, 125, 105, 75, 75, 80, 80, 50, 50,
20110826, 1200, , HU, 30.0N, 77.4W, 85, 947, 250, 200, 130, 175, 125, 105, 75, 75, 80, 80, 50, 50,
20110826, 1800, , HU, 31.1N, 77.5W, 80, 950, 250, 225, 140, 175, 125, 125, 80, 75, 80, 80, 50, 50,
20110827, 0000, , HU, 32.1N, 77.1W, 75, 952, 225, 225, 140, 140, 125, 125, 90, 75, 80, 80, 40, 40,
20110827, 0600, , HU, 33.4N, 76.8W, 75, 952, 225, 225, 140, 140, 125, 125, 90, 75, 80, 80, 40, 40,
20110827, 1200, L, HU, 34.7N, 76.6W, 75, 952, 225, 225, 150, 125, 125, 125, 90, 60, 80, 80, 40, 35,
20110827, 1800, , HU, 35.5N, 76.3W, 65, 950, 210, 225, 150, 125, 125, 125, 80, 60, 75, 75, 35, 35,
20110828, 0000, , HU, 36.7N, 75.7W, 65, 951, 210, 225, 150, 125, 150, 150, 80, 60, 75, 75, 0, 0,
20110828, 0600, , HU, 38.1N, 75.0W, 65, 958, 230, 280, 160, 110, 150, 150, 80, 30, 75, 75, 0, 0,
20110828, 0935, L, TS, 39.4N, 74.4W, 60, 959, 230, 280, 160, 110, 150, 150, 80, 30, 0, 0, 0, 0,
20110828, 1200, , TS, 40.3N, 74.1W, 55, 963, 230, 280, 130, 50, 150, 150, 80, 30, 0, 0, 0, 0,
20110828, 1300, L, TS, 40.6N, 74.0W, 55, 965, 230, 280, 130, 50, 150, 150, 80, 30, 0, 0, 0, 0,
20110828, 1800, , TS, 42.5N, 73.1W, 50, 970, 230, 280, 180, 50, 150, 150, 80, 30, 0, 0, 0, 0,
20110829, 0000, , EX, 44.2N, 72.1W, 45, 979, 230, 315, 250, 50, 0, 0, 0, 0, 0, 0, 0, 0,
20110829, 0600, , EX, 46.5N, 69.5W, 40, 983, 360, 360, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0,
20110829, 1200, , EX, 49.1N, 66.7W, 40, 985, 360, 360, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0,
20110829, 1800, , EX, 51.3N, 63.8W, 40, 987, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
20110830, 0000, , EX, 53.0N, 60.0W, 40, 991, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
